student_id,overall_n_questions,overall_accuracy,overall_avg_time_seconds,overall_avg_confidence
student_0001,75,0.6533,31.6,3.04
student_0002,75,0.52,45.77,2.55
student_0003,75,0.6133,53.02,3.03
student_0004,75,0.6133,45.93,2.83
student_0005,75,0.6,49.36,2.81
student_0006,75,0.52,39.1,2.61
student_0007,75,0.4667,45.05,2.48
student_0008,75,0.5067,50.78,2.35
student_0009,75,0.5867,36.23,2.64
student_0010,75,0.5333,55.39,2.53
student_0011,75,0.56,47.4,2.72
student_0012,75,0.5333,39.72,2.89
student_0013,75,0.5733,47.72,2.87
student_0014,75,0.5867,50.27,3.17
student_0015,75,0.5333,60.93,2.6
student_0016,75,0.64,38.7,2.85
student_0017,75,0.4933,56.52,2.09
student_0018,75,0.64,44.65,3.33
student_0019,75,0.44,63.64,2.29
student_0020,75,0.4267,54.42,1.72
student_0021,75,0.4533,43.13,2.43
student_0022,75,0.4667,47.83,2.69
student_0023,75,0.5333,50.95,3.01
student_0024,75,0.5733,50.31,2.85
student_0025,75,0.56,45.62,2.61
student_0026,75,0.5067,50.85,2.12
student_0027,75,0.4933,55.86,2.47
student_0028,75,0.5333,46.51,2.25
student_0029,75,0.4267,48.27,2.21
student_0030,75,0.5333,47.05,2.69
student_0031,75,0.4933,43.3,2.73
student_0032,75,0.56,36.9,2.51
student_0033,75,0.4667,49.43,2.12
student_0034,75,0.4933,46.5,2.87
student_0035,75,0.6267,45.45,2.89
student_0036,75,0.52,43.85,2.32
student_0037,75,0.48,54.56,2.44
student_0038,75,0.4933,47.1,2.05
student_0039,75,0.5867,40.59,2.61
student_0040,75,0.56,33.37,3.16
student_0041,75,0.6,42.47,3.17
student_0042,75,0.68,37.19,3.19
student_0043,75,0.6533,31.35,2.83
student_0044,75,0.4667,53.97,2.36
student_0045,75,0.4667,41.76,2.59
student_0046,75,0.64,45.19,2.43
student_0047,75,0.4933,42.84,2.08
student_0048,75,0.56,53.55,2.81
student_0049,75,0.4667,44.5,2.05
student_0050,75,0.5333,47.25,2.75
student_0051,75,0.44,37.55,2.0
student_0052,75,0.4533,54.07,2.33
student_0053,75,0.56,45.09,2.83
student_0054,75,0.5067,39.57,2.4
student_0055,75,0.4267,58.79,1.96
student_0056,75,0.56,50.51,2.64
student_0057,75,0.52,51.74,2.48
student_0058,75,0.5067,58.07,2.71
student_0059,75,0.3067,51.18,1.97
student_0060,75,0.4533,44.52,2.29
student_0061,75,0.4933,32.31,2.6
student_0062,75,0.5867,37.9,2.79
student_0063,75,0.5733,45.24,2.71
student_0064,75,0.48,51.63,2.92
student_0065,75,0.4933,49.64,2.31
student_0066,75,0.4933,55.96,2.31
student_0067,75,0.6133,44.59,2.89
student_0068,75,0.6533,42.59,2.85
student_0069,75,0.52,42.28,2.57
student_0070,75,0.6667,30.78,3.53
student_0071,75,0.6133,45.55,2.69
student_0072,75,0.56,40.83,2.67
student_0073,75,0.48,48.9,2.43
student_0074,75,0.56,52.3,3.09
student_0075,75,0.56,43.7,2.99
student_0076,75,0.6,39.94,2.95
student_0077,75,0.5867,41.39,3.13
student_0078,75,0.4133,52.73,1.81
student_0079,75,0.6,39.25,3.32
student_0080,75,0.48,46.46,2.71
student_0081,75,0.4933,42.08,2.36
student_0082,75,0.4667,60.66,2.45
student_0083,75,0.48,58.69,2.51
student_0084,75,0.5067,46.38,2.68
student_0085,75,0.5867,42.0,2.93
student_0086,75,0.44,57.62,2.28
student_0087,75,0.5733,42.31,2.91
student_0088,75,0.5067,52.54,2.2
student_0089,75,0.44,37.32,2.33
student_0090,75,0.5733,44.79,2.44
student_0091,75,0.5333,32.13,2.44
student_0092,75,0.6533,35.29,3.33
student_0093,75,0.52,52.12,2.24
student_0094,75,0.6,48.41,2.92
student_0095,75,0.4933,55.57,2.15
student_0096,75,0.64,30.63,3.08
student_0097,75,0.5467,48.5,2.28
student_0098,75,0.56,49.87,2.65
student_0099,75,0.64,41.54,2.81
student_0100,75,0.56,61.62,2.56
student_0101,75,0.5733,42.77,3.04
student_0102,75,0.5333,43.96,2.24
student_0103,75,0.52,39.4,2.75
student_0104,75,0.52,49.17,2.83
student_0105,75,0.5067,44.0,2.4
student_0106,75,0.4667,40.91,2.48
student_0107,75,0.52,34.63,2.76
student_0108,75,0.5067,40.04,2.4
student_0109,75,0.4933,37.32,2.73
student_0110,75,0.44,56.6,2.16
student_0111,75,0.4667,41.46,2.36
student_0112,75,0.5867,32.45,2.61
student_0113,75,0.5333,41.26,2.48
student_0114,75,0.52,52.02,2.92
student_0115,75,0.5467,48.42,2.77
student_0116,75,0.48,55.01,2.6
student_0117,75,0.6133,46.13,2.96
student_0118,75,0.56,61.68,2.19
student_0119,75,0.6133,41.93,2.75
student_0120,75,0.5867,43.57,3.28
student_0121,75,0.52,33.23,2.73
student_0122,75,0.5867,31.41,2.96
student_0123,75,0.4267,42.95,2.57
student_0124,75,0.5867,34.56,2.84
student_0125,75,0.5467,48.56,2.53
student_0126,75,0.5733,30.83,2.68
student_0127,75,0.5333,43.76,2.52
student_0128,75,0.4667,57.38,2.19
student_0129,75,0.52,43.38,2.69
student_0130,75,0.48,45.9,2.31
student_0131,75,0.5733,42.94,2.71
student_0132,75,0.4933,55.22,2.2
student_0133,75,0.44,58.28,1.92
student_0134,75,0.56,42.16,2.45
student_0135,75,0.6667,49.62,2.75
student_0136,75,0.4933,46.74,2.61
student_0137,75,0.4933,55.16,2.13
student_0138,75,0.48,38.47,2.27
student_0139,75,0.5733,39.99,2.97
student_0140,75,0.64,49.55,3.47
student_0141,75,0.6267,42.83,2.69
student_0142,75,0.5333,51.6,2.65
student_0143,75,0.6,50.25,2.65
student_0144,75,0.5467,38.35,2.8
student_0145,75,0.56,35.13,2.8
student_0146,75,0.4667,62.55,2.07
student_0147,75,0.52,49.57,2.64
student_0148,75,0.48,51.22,2.33
student_0149,75,0.5467,46.81,2.88
student_0150,75,0.4133,45.13,2.28
student_0151,75,0.6,51.78,3.36
student_0152,75,0.56,31.79,2.83
student_0153,75,0.4267,59.05,2.49
student_0154,75,0.5467,37.68,2.4
student_0155,75,0.5867,50.94,2.59
student_0156,75,0.52,51.08,2.13
student_0157,75,0.52,48.95,2.65
student_0158,75,0.64,47.44,3.25
student_0159,75,0.52,42.94,2.51
student_0160,75,0.5067,40.5,2.57
student_0161,75,0.5733,40.37,2.79
student_0162,75,0.4933,36.91,2.71
student_0163,75,0.56,41.09,2.6
student_0164,75,0.5067,58.82,2.23
student_0165,75,0.6133,47.15,3.24
student_0166,75,0.5067,53.6,2.25
student_0167,75,0.5733,57.24,2.4
student_0168,75,0.5467,51.7,2.83
student_0169,75,0.5733,45.35,2.68
student_0170,75,0.6,47.82,2.81
student_0171,75,0.64,50.59,3.37
student_0172,75,0.6,48.13,2.88
student_0173,75,0.4533,57.37,2.33
student_0174,75,0.48,43.45,2.71
student_0175,75,0.6,47.41,2.76
student_0176,75,0.52,52.28,2.45
student_0177,75,0.68,30.66,3.2
student_0178,75,0.52,44.11,2.75
student_0179,75,0.6533,44.11,3.16
student_0180,75,0.4933,49.83,2.15
student_0181,75,0.4667,37.6,2.11
student_0182,75,0.6,53.85,3.08
student_0183,75,0.5067,46.09,2.39
student_0184,75,0.6,39.93,2.53
student_0185,75,0.5867,49.32,2.95
student_0186,75,0.44,46.79,2.28
student_0187,75,0.6533,34.7,3.04
student_0188,75,0.5467,37.69,2.49
student_0189,75,0.6133,39.18,3.05
student_0190,75,0.48,53.26,2.64
student_0191,75,0.4533,59.78,2.24
student_0192,75,0.4933,46.31,2.32
student_0193,75,0.4533,49.88,2.2
student_0194,75,0.56,48.1,2.67
student_0195,75,0.6267,33.1,3.08
student_0196,75,0.3867,51.85,2.03
student_0197,75,0.5467,30.98,2.91
student_0198,75,0.6533,37.27,3.31
student_0199,75,0.5467,45.12,2.27
student_0200,75,0.44,44.01,2.19
